,,
رقم الصنف,اسم الصف,الوحدة
10075,قراصية مجفف,كيلو
10076,مكسرات تركية ماكس شد5كيلو,كيلو
10077,مكسرات الوليد 307,كيلو
10079,فستق  امريكي وسط   21-25 ني 11.34 ك,كيلو
10080,فستق راس خروف امريكي 18-22 ني 11.34ك,كيلو
10081,زبيب اخضر صيني10كغ,كيلو
10082,زبيب اسودافغاني حبه كبير  10 كغ,كيلو
10083,مشكل مشويات,كيلو
10084,مشكل مكسرات ملكي -دارخولان ملكي  رقم 1,كيلو
10085,كاجو جبن -WW240,كيلو
10086,مشكل مكسرات دار خولان سوبر شد 10كيلو,كيلو
10086,مشكل مكسرات دار خولان سوبر شد 10كيلو,كيلو
10087,حمص اسود شد 15 كيلو,كيلو
10088,مكسرات هندي بارد شد 10 كيلو,كيلو
10089, شاي الوزه 1200 جرام شد 6 حبه,حبة
10091,حب قرع مقمر شد 10كيلو,كيلو
10092,كاجو هندي 320  ني,كيلو
10094,مكسرات الوليد رقم 12,كيلو
10095,مكسرات البرهان 25,كيلو
10096,حب كوسا صيني مالح مالح رقم /1/ شد 10 كيلو,كيلو
10097,حب كوسا صيني بدون ملح رقم /1 /شد 10 كيلو,كيلو
10098,حب مغربي,كيلو
10099,حب العزيز - كيلو,كيلو
10100,لوز امريكـــــي درجه اولي  جامبو 0//كبير//,كيلو
10102,مكسرات الرشيد 402,كرتون*5
10107,مكسرات شد5كغ C417,كرتون*5
10110,مكسرات البرهان رقم 5,كرتون*5
10111,مكسرات البرهان 60,كرتون*5
10113,مكسرات شد5كغA426,كرتون*5
10114,مكسرات شد5كغ444,كرتون*5
10115,مكسرات هندي حار شد 10 كيلو,كيلو
10117,فول تكروني  ابيض  ني,كيلو
10118,مكسرات الشملول تايلندي,كرتون*5
10120,زبيب اسود افغاني جامبو رقم 1شد 5كيلو,كرتون*5
10121,لوز امريكي سادة  درجة اولى27/30,كيلو
10122,مكسرات جبنة شد كغ B422,كرتون*5
10127,قرع مالح درجه اولي مالح زياده زياده,كيلو
10129,مكسرات الوليد 11,كيلو
10130,مكسرات والوليد رقم 4,كيلو
10134,عين جمل بل قشر رقم 1 امريكي,كيلو
10135,مكسرات شد5كغ  415,كرتون*5
10137,مكسرات شد5كغ 404,كرتون*5
10139,كاجو ليمون W240,كيلو
10143,مكسرات الوليد رقم 10,حبة
10146,مكسرات الوليد رقم 12,1
10148,مكسرات الوليد رقم 306,كيلو
10149,مكسرات الوليد رقم 10,كرتون*5
10150,مكسرات الوليد رقم 25,كرتون*5
10151,مكسرات الوليد رقم 20,كرتون*5
10152,مكسرات الوليد رقم 3,كرتون*5
10153,مكسرات الوليد رقم 31,كرتون*5
10155,مكاديميا بالقشر ني,كيلو
10158,لوز مربعات,كيلو
10162,مكسرات الوليد رقم 16,كرتون*5
10163,مكسرات الوليد رقم 19,كرتون*5
10163,مكسرات الوليد رقم 19,كرتون*5
10164,مكسرات الوليد رقم 13,كرتون*5
10165,مكسرات الوليد رقم 9,كرتون*5
10168,مكسرات الوليد مشكل رقم 1,كيلو
10169,حب ملكي مفتح وزن 10 كيلو,كيلو
10170,لوز برازيلي ني شد 20 ك,كيلو
10171,مكسرات ارز 5 كيلو 777,كرتون*5
10173,بذور المشمش قلب حلو شد10كجم,كيلو
10176,حب قرع ني اكسترا جامبو مقاس 15سم,كيلو
10177,حب شمام محمص مدخن ملكي شد 10 كيلو,كيلو
10178,فستق امريكي حبه صغير ني,كيلو
10181,بذر حب شمسي شد25 ك,كيلو
10183,بندق احمر ني,كيلو
10184,مكسرات الوليد رقم 27,كرتون*5
10187,مكسرات ارز A422,كرتون*5ك
10188,حب جيزاني محمص شد10 ك,كيلو
10190,مكسرات الوليد رقم 24,كرتون*5ك
10191,مكسرات الوليد رقم 6,كرتون*5ك
10195, شاي الوزه اسود بلاستيك 6*700جرام,حبة
10196,جوز بيكان بالقشر وزن  680*22,كيلو
10198,فستق مالح,كيلو
10199,فستق ليمون,كيلو
10200,مكسرات تايلندي 333A شد 5 كجم,كرتون*5ك
10203,زبيب اخضر هندي 10كغ,كيلو
10204,لوز امريكي مدخن رقم 1,كيلو
10207,مكسرات البرهان 30,كرتون*5
10208,مكسرات البرهان 50,كرتون*5
10209,مكسرات البرهان 95,كرتون*5
10210,مكسرات البرهان 35,كرتون*5
10214,مكسرات البرهان 45,كرتون*5
10215,مكسرات البرهان 200,كرتون*5
10216,مكسرات البرهان 170,كرتون*5
10217,مكسرات شابورة,كيلو
10218,مكسرات ياباني,كيلو
10219,مكسرات الوليد رقم 15,كرتون*5
10221,مكسرات البرهان 80,كرتون*5
10224,حمص رقم 7 روسي 15 كجم,كيلو
10226,سمسم يمني اسود رقم 1 كيلو,كيلو
10227,حب قرع مالح باجة  4*24*13 جرام,ضرف
10228,حب شمسي مالح باجة 4*18*15جرام,ضرف
10229,حب قرع مقمر-مالح باجة 110جرام باكت شد10,حبة
10231,فول سوداني باجة 4*24*13جرام,ضرف
10235,مكسرات ارز حار / A 435,كرتون*5ك
10236,مكسرات البرهان 180,كيلو
10236,مكسرات البرهان 180,كيلو
10237,مكسرات MIX مشكلة *10 كيلو,كيلو
10238,زبيب اصفر افغاني 10 كيلو,كيلو
10239,مكسرات شد5كغB426,كرتون*5
10240,فستق بالقشر فندقي درجة اولى 10 كجم,كيلو
10241,مكسرات البرهان رقم 15,كيلو
10242,مكسرات الرشيد 433,كيلو
10243,مكسرات الرشيد 999,كيلو
10244,فستق بالقشر اكبري 10كجم مقاس 20-22,كيلو
10245,كاجو ني  W180  هندي,كيلو
11007,قضامه مشوي 10كيلو,كيلو
12066,عين الجمل صيني مقشور10كيلو,كيلو
22070,مقرمشات الذرة الفاخرة 5 كيلو,كيلو
26014,تين طبيعي لحن الشام شد 9 كيلو,كيلو
002014,ارز بابل سيلا باكستاني 10كجم,كيس*10ك
11001,عدس احمر شد 15 كيلو,كيلو
11002, عدس اخضر شد 15 كيلو,كيلو
11003,عدس اسود شد 15كيلو,كيلو
11004,عدس اصفر شد 15 كيلو,كيلو
11005,فشار شد 20 كيلو,كيلو
11006,حمص هندي مقاس 12,كيلو
11008,فاصولياء بيضاء شد 15 كيلو,كيلو
11009,فاصولياء حمراء شد 15,كيلو
11010,ماش اخضر شد 15 كيلو,كيلو
11011,فول مجرو ش,كيلو
11012,فول حب مصري كـ-15يس,كيلو
11013,فول حب سوري,كيلو
11014,حمص مطحون 15,كيلو
11015,برغل ناعم شد 15 كيلو,كيلو
11016,برغل خشن شد 15 كيلو,كيلو
11017,سميد ناعم,كيلو
11018,سميد خشن تركي 15 كيلو,كيلو
11019,جريش انجي  10كليو,كيلو
11020,حمص مجروش شد 15 كيلو,كيلو
11021,شعير شد 40 كيلو,كيلو
11022,هريس شد تركي 10كيلو,كيلو
11023,سميد ناعم 15كغ,كيلو
11024,لوبيا -15كيلو _كيس,كيلو
11024,لوبيا -15كيلو _كيس,كيلو
11027,اسباغول فله شد 20كيلو,كيلو
11029,سميد خشن هندي,كيلو
11030,ماش اخضر مجروش,كيلو
11031,ترمس حلو شد 15,كيلو
11032,ترمس مر 15 كيلو,كيلو
11035,دخن شد40كيلو,كيس* 40
11037,اسباغول صغير شد 70 حبة,حبة
11038,اسباغول كبير شد 50 حبة,حبة
11040,فريكة خشنة كيس شد10كغ,كيلو
11042,برغل اسمر ناعم شد 15 كيلو,كيلو
112017,هريس شد 10 كيلو,كيلو
112020,شوفان كويكر الاصلي بريطاني500جرام شد 24,علبة500جم
112026,مسمنة جريش وزن,كيلو
11203,دخن كيس 40كيلو,كيلو
112031,فول مدمس الكسيح حار 390غ,حبة
112032,كسكس مغربي 12 كجم,كيلو
11213,شوفان مجروش شد 20 كغ,كيلو
11333,حلبة باكستناني 15 كيلو,كيلو
27016,سماق الفاخر شد 10 كيلو رقم 1,كيلو
12,بهارات صرة علب 200جرام,حبة
12001,كركم هندي حب,كيلو
12002,حب قرع محمص مدخن ملكي شد 10 كيلو,كيلو
12003,كمون حب سوداني,كيلو
12004,كمون سوداني مطحون,كيلو
12005,كمون سوري حب شد 25 كيلو,كيلو
12006,كمون سوري مطحون,كيلو
12007,فلفل اسود فيتنام حب شد 10كيلو,كيلو
12008,فلفل اسود حب مدغشقر,كيلو
12009,فلفل اسود مطحون,كيلو
12010,ليمون اسود صومالي,كيلو
12013,قرفه صيني مواسير  شد 20كيلو,كيلو
12014,نجمة اليانسون,كيلو
12015,زنجبيل حب صيني,كيلو
12016,زنجبيل نيجيري حب رقم 1 شد 40 كيلو,كيلو
12017,زنجبيل هندي حب,كيلو
12018,زنجبيل مطحون درجه اولي شد10 كج,كيلو
12019,بهار حلو_كيلو,كيلو
12019,بهار حلو_كيلو,كيلو
12020,فلفل كرز,كيلو
12021,فلفل عدني طويل شد 10 كيلو,كيلو
12022,فلفل حب باكستاني 15كغ,كيلو
12023,شطة ببريكا مجروش بارد-صيني,كيلو
12024,شطه ببريكا خشن10كيلو,كيلو
12025,زعتر فلسطيني النصر,كيلو
12026,زعتر  اخضر اردني,كيلو
12027,خلطة القصيم 10 كيلو,كيلو
12028,بهارات مشكلة مطحون شد 10 كيلو,كيلو
12029,جوز الهند فيتنام شد 7 كغ,كيلو
12030,شيبة نيجيري كيس 7 كيلو,كيلو
12032,سماق اكسترا--السبيعي شد 20 كيلو,كيلو
12033,ورق غار هندي,كيلو
12034,سمسم ني,كيلو
12035,سمسم محمص,كيلو
12036,حبة البركة,كيلو
12037,ماجي ابيض كيلو,كيلو
12038,كزبرة مطحون,كيلو
12039,قرفة مطحون,كيلو
12040,فلفل ابيض مطحون,كيلو
12041,بصل ابيض مطحون,كيلو
12042,ثوم ابيض مطحون,كيلو
12043,فلفل ابيض  حب شد 25 كيلو,كيلو
12044,خولنجان  صيني,كيلو
12045,ثوم شرائح صيني,كيلو
12046,ثوم يمني ذكر,كيلو
12047,ليمون مطحون,كيلو
12048,بصل شرائح 10 كغ,كيلو
12049,ارطه عيدان,كيلو
12053,بصل اصفر رقم 1-كيس,كيلو
12054,بهارات الخرمة شد 10كيلو,كيلو
12055,ملح ليمون 25كغ كيس,كيلو
12058,بصل اصفر رقم 2,كيلو
12059,شطة النمرين مطحون 15كيلو,كيلو
12060,فلفل اسود فيتنامي جامبو حب 25كيلو,كيلو
12061,قرفة مواسير اكياس -500جرام 40حبه,كيلو
12062,زعتر ورق كيلو رقم 1,كيلو
12063,بصل مقلي كرتون *10ك,كيلو
12064,بهارات شربه علب شاش,علبة
12065,جوز الهند محمص 10كيلو,كيلو
12067,قرفة مواسير اكياس250جم *80,كيس*250جم
12069,قرفة فيتنامي10كغ 500جم,كيلو
12070,نشادر شد 25 كيلو,كيلو
12070,نشادر شد 25 كيلو,كيلو
12071,كمون يمني درجة اولى,كيلو
12072,زنجبيل مطحون علبه,علبة
12073,بهارات مشكل حب,كيلو
12074,بهارات مشكلة مطحون تنك,تنك *10
12075,فلفل  احمر كرز باكستاني,كيلو
12076,فلفل اسود برازيلي شد 25 كيلو,كيلو
12077,زعتر ورق يمنـــــي,كيلو
12078,بهارات ماجي ابيض دمعة الشام,كيلو
12079,بهارات ماجي اصفـــر دمعة الشام,كيلو
12080,ورق ريحان -كيلو,كيلو
12081,كمون هندي حب,كيلو
12084,ام الكركم هندي -كيلو,كيلو
12086,بديل ماجي اصفر كيلو,كيلو
12087,سحلب فله رقم 1,كيلو
12089,بصل مقلي شد 2*4.5,كيلو
12090,ليمون  ابيض كيس 10 كيلو,كيلو
12095,كمون بلدي  شد 20كيلو,كيلو
12096,قرفة عيدان- اساس,كرتون
120967,قرفة سيلاني 250 جم,ك*250جم
120968,فلفل احمر مجروش * 5 كغ,كيلو
120969,كمون سوداني 25كيلو,كيلو
12097,قرفه صيني عيدان شد 25 كيلو رقم 1,كيلو
120970,بهارات مشكل اسناد 200 جم,حبة
120971,زنجبيل شرائح شد 40 كيلو,كيلو
12098,قرنفل اندونيسي شد 10 كيلو درجه اولى,كيلو
12099,كزبرة هندي 15 كيلو,كيس*15
12101,كركم مطحون-,كيلو
12102,كاري مدراس السفينة صعير كرتـــ72ــون,علبة
12103,ملح هيمالايا ناعم -الوردي,علبة
12105,بهارات القصيم للكبسة 250جم,حبة
12107,كزبرة سوري خضراء شد 15 كيلو,كيلو
12108,كزبرة هندي 15 كيلو,كيلو
12109,نشاء الذرة باكت,حبة
12110,بهارات بيضاء,كيلو
12112,جوز هند ابيض رطب,كيلو
12114,هيل اسود هندي,كيلو
12115,حلبة الخيل كيلو,كيلو
12123,حلبة بلدي شد 50,كيلو
12124,رشاد هندي شد 15 ك,كيس*15ك
12126,بديل ماجي ابيض كيلو,كيلو
12127,خميرة البيرة حب,كيلو
12129,ارز ابو كاس 40 كجم,كيس
12130,ببريكا ناعم شد 10كغ صيني,كيلو
12130,ببريكا ناعم شد 10كغ صيني,كيلو
12132,قرنفل اندونيسي درجه اولى 5 * 4  شد 20 كيلو,كيلو
12133,ملح فارسي ملحه بيضاء,كيلو
12134,بهارات سمك مشكلة,كيلو
12136,قرنفل سيرلانكي درجه اولى 5 * 4  شد 20 كيلو,كيلو
12137,بهارت سمبوسة وزن,كيلو
12138,بهارت شربة وزن,كيلو
12139,شوفان علب بلاستيك 12*900جم,حبة
12140,فلفل ابيض ابيض فيتنام حب شد 10كيلو,كيلو
12141,بصل مقلي 400جم *24حبة  فاضكو,حبة
12143,نعنع ناشف الاخلاص 200غ,كيس 200جم
12144,نعناع ناشف الاخلاص 500غ,كيس*500جم
12145,زعتر فلسطيني الاغا,كيلو
12148,حبة البركة قصيمي درجة اولى,كيلو
12149,قرفة مواسير وزن 10كغ,كيلو
12152,شوفان هانا اصفر 12*450جم,حبة
12153,بهارات مضغوط رقم 1,كيلو
12154,بصل ابيض شرائح 9 ك,كيلو
12156,صلصة فرشلي بيتزا زجاج 12*680 جم,حبة
12157,فرشلي صلصة البيتزا 12*454 جم,حبة
12158,تتبيلة فرشلي رانش سلطة 6*473 مل,حبة
12159,صلصة باربيكيو طازجة 12*510 جم,حبة
12160,تتبيلة قودي 12*237 مل,حبة
12161,بهارات دجاج 10كغ,كيلو
12162,بذر ريحان,كيلو
12163,سماق مطحون الشهباء 25ك,كيلو
12164,شوربة الدجاج - خضار الربيع 60 جرام *12,حبة
12165,كركم مطحون-شد 15كغ,كيلو
12166,زعتر فلسطيني الاغا500جم,علبة 500جم
12167,بصل مقلي 400جم شد 25حبة,ك*500جم
12168,زنجبيل نيجيري حب شد 40 كيلو,كيلو
12169,بصل مقلي شد 9 كيلو,كيلو
12170,ورق غار سوري كرتون 10 كجم,كيلو
12171,ورق غار تركي,كيلو
12172,قرفة سيلاني 250 جم,ك*250جم
12173,ملح مبكت 50جرام *20حبة,حبة
12175,ملح هملايا فله,كيلو
12176,كمون سوري حب شد 10 كيلو,كيلو
12178,ببريكا مجروش 900جرام *10,كيس
12182,بسباسة,كيلو
14012,قرنفل سيرلانك,كيلو
26015,بهارات كشنه مشكله,كيلو
280235,قرفة فيتنامي 10 كيلو 250 جرام,ك*250جم
28964,حمر جاوي,كيلو
28964,حمر جاوي,كيلو
28965,عود الحلبة,كيلو
00201,قهوة سعودية- دار خولان الجاهزه,كيلو
13,قهوة اضرف بن تمون منوع,كيس
13001,قهوة خولاني درجة اولى شد 50 كيلو,كيلو
13002,قهوة بريه مفتوح عالية الجودة  شد 50كيلو,كيلو
13003,قهوة هرري دار خولان  G4 شد 50 كيلو,كيلو
13004,قهوة هرري دار خولان  درجه اولى50كيلو,كيلو
13007,قهوة هندي اربيكاAAAميسور 10كيلو,كيس*10ك
13008,قهوة هندي فرحانةA,كيس*10ك
13009,قهوة لقمتي الشيوخ شد 10كغ,كيس*10ك
13010,قهوة لقمتي الشيوخ شد 5كغ,كيس*5كغ
13011,قهوة هرري الشيوخ شد10كغ,كيس*10ك
13012,قهوة هرري الشيوخ شد 5كغ,كيس*5
13013,قهوة هرري باشنفر شد10كغ,كيس*10ك
13014,قهوة لقمتي باشنفر شد10 كغ,كيس*10ك
13015,قهوة لقمتي باشنفر شد 5 كغ,كيس*5ك
13016,قهوة هرري باشنفر شد 5كغ,كيس*5ك
13017,بن هرري السيف 5كغ,كيس *5ك
13018,قهوة برازيلي سانتوس محمص وسط رقم 1,كيلو
13019,قهوة خولاني 5 كيلو,كيس *5ك
13021,هرري يوجي 50كيلو,كيلو
13022,قهوة هرري يوجي-50كيلو كيس,كيلو
13023,قهوة مكسره بريه يمني,كيلو
13024,قهوه  لقمتي ( الدار )  خولان 50,كيلو
13026,قهوة بيشة 250جم *24,حبة
13030,قهوة لقمتي دار خولان  شد 50,كيلو
13031,قهوه صيني حبة صغيرة شد 50 كيلو,كيلو
13034,كيس لقمتي فارغ 5 كيلو,حبة
13035,كيس لقمتي فارغ 10كيلو,حبة
13036,كيس هرري فارغ 5كيلو,حبة
13037,كيس هرري فارغ 10كيلو,حبة
13038,كيس خولاني فارغ 5كيلو,حبة
13040,قهوه هرري باشنفر 50كج,كيلو
13041,قهوة الشيوخ الذهبية 500 جرام,حبة
13046,قهوة برازيلي محمص  غامق رقم 1,كيلو
13048,قهوه  لقمتي شد 50كيلو,كيلو
13051,مره حلال,كيلو
13051,مره حلال,كيلو
13053,قهوة بيشة 500جم,حبة
13054,قهوة هرري الخير ابو شراع شد 5كغ,كيس*5ك
13055,قهوة الدار الذهبية (هرري )  60كغ SIDAMO,كيلو
13056,قهوة خولاني مختصة-درجة اولى,كيلو
13057,قهوة كولومبي 70كغ,كيلو
13059,قهوة يمنية برية مختصة مبروم شد 50كيلو,كيلو
13061,قهوة برازيلي سانتوس,كيلو
13064,قهوة دالة الجزيرة بالزعفران 12 كوب شد 6,حبة
13065,قهوة دالة الجزيرة بالهيل 12 كوب شد 6,حبة
13068,قهوة دالة الجزيره زنجبيل,حبة
13204,نسكافية جولد صغير 47.5 جم شد 12,حبة
13206,علي كافي 3 في 1 كريمي 12*30+10*20جم,حبة
13208,قهوه صيني حبة وسط شد 50 كيلو,كيلو
13209,قهوه برازيلي مختصة شد60كغ,كيلو
13211, k60- G2- Yirjacheffee قهوة اثيوبي,كيلو
13248,قهوة اثيوبي  شد 50 كيلو,كيلو
13249,فلتر قهوة1*2,حبة
13250,فلتر قهوة لوسي1*4,حبة
13253,دقه قشر مطحون يمني,كيلو
13254,قهوة كولمبية 35كغ,كيلو
13255,قهوة كيف السعودي 1000 جم,حبة
13256,قهوة المرجان 1000 جم,حبة
13257,قهوة المرجان 500 جم,حبة
13258,قهوة هندية ميسور بالكيلو فقط,كيلو
13259,قهوة دولشي ايطالية محمصة 1ك*6,كيلو
13271,لقمتي شد 60كغ,كيلو
13272,قهوة هندي اربيكا ميسور AAA  شد 5كغ,كيس *5ك
13273,اثيوبي Guji mesine G1-60 K,كيلو
13274,خلطة قهوة,كيلو
13275,قشر قهوة مردوم,كيلو
13277,قهوة الشيوخ الذهبية 2 كيلو,حبة
13278,نسكافية كبتشينو كيس 12*20*19.3 جرام,حبة
13279,قهوه هندي اربيكا AAA ميسور فله,كيلو
13280,قهوة تركية الخير 450 جم *6,كيس
13281,قهوة الدار الذهبية هرري درجة اولى 50كجم,كيلو
14001,هيل امريكي الحصان رقم 1,كيلو
14002,هيل امريكي الحصان رقم 2,كيلو
14002,هيل امريكي الحصان رقم 2,كيلو
14003,هيل امريكي الحصان رقم 3,كيلو
14004,هيل هندي ريحانة 500 جرام,كيس*250جم
14005,هيل هندي ربانة   7 مل,كيس*250جم
14006,هيل هندي فرحانة,كيس*250جم
14010,هيل كاردكس امريكي رقم 3,كيلو
14011,هيل صقرOPLمفتح,كيلو
14019,هيل هندي ربانه250جرام 8 ملي,كيس*250جم
14020,هيل الدله امريكي رقم 1 اخضر,كيلو
14021,قهوة ذوق 250جم,علبة
14023,هيل هندي  ربانة 7مل 250جم,كيس*250جم
14024,هيل هندي فرحان نصف كغ,كيلو
14026,هيل هندي ريحانه 250جم,كيس*250جم
14028,هيل امريكي ابو فيل رقم 1,كيلو
14030,هيل زينا500  جرام,ك*500جم
14031,هيل هندي الطائي7 ملي 250جرام,ك*250جم
14034,هيل صقر رقم 2,كيلو
14036,هيل امريكي ابودله رقم 3,كيلو
14037,هيل امريكي كاردكس رقم 1,كيلو
14038,هيل هندي طيارة7ملي شد 40كيلو,كيلو
14042,هيل ابو صقر رقم 1,كيلو
14044,هيل امريكي صقر رقم 3,كيلو
14048,هيل اكبر الهندي 8 مل-فرط,كيلو
14057,هيل اكبر الهندي500 جم 7 مل,كيس*500جم
14058,هيل اكبر الهندي 7 فرط,كيلو
14059,هيل اكبر الهندي 8 ملي  1 كيلو,كيلو
14060,هيل اكبر الهندي 7 ملي  1 كيلو,كيلو
14062,هيل هندي اكبر8ملي 500-جم,كيلو
14063,هيل هندي اكبر 250جرام -8مل,كيلو
14064,هيل هندي اكبر 250 جم -7 مل,ك*250جم
14065,هيل امريكي كاردكس رقم 2,كيلو
14066,هيل امريكي فرحانه رقم 2 شد 40,حبة
14067,هيل امريكي ابو فيل رقم 2,كيلو
14068,هيل امريكي ابو فيل رقم 3,كيلو
14069,هيل امريكي ابو فيل مفتح شد 40 كيلو,كيلو
14074,هيل كادريكو رقم 3,كيلو
14075,بذور الهيل,كيلو
14076,هيل ابو طيارة 7 ملي فرط,كيلو
14079,هيل امريكي سوبر ماكس شد 40كيلو,كيلو
14080,هيل الطائي 8 مل سوبر جامبو 250 جرام,كيس*250جم
14081,هيل الطائي 8 مل سوبر جامبو 500جرام,كيس*500جم
14083,هيل كادريكو  سوبر اكسترا جامبو,كيلو
14086,هل امريكي ابو طير G2,كيلو
14087,هيل مفتح ابو غزال,كيلو
14087,هيل مفتح ابو غزال,كيلو
14088,هيل ابو دله الفاتح رقم 1,كيلو
14089,هيل سوبر ماكس,كيلو
14090,هيل هندي اكبر 6ملم 5كجم*2 فرط,كيلو
14091,هيل هندي اكبر 6 ملم 1كجم *10,كيلو
14092,هيل هندي اكبر 6 ملم 500جرام*20,كيلو
14093,هيل هندي اكبر 6ملم 250جرام *40 حبة,كيلو
14095,هيل كادريكو  رقم 2,كيلو
14096,هيل كاردكس مفتح,كيلو
14097,هيل دله ذهبية مفتح,كيلو
15002,شاي الوزة حديد 400 جرام *12,حبة
15007,شاي الوزة خيط  احمر 24 حبة,حبة
15008,شاي الاولين حديد250 جم,علبة
15009,شاي الاولين خيط,حبة
15010,شاي العطار قرفة,حبة
15014,شاي الوزة خيط اخضر,حبة
15015,شاي 999 حديد,حبة
15016,شاي ليبتون فله 400جرام,حبة
15017,شاي 999 خيط,حبة
15018,شاي الغزالين فله 500 جم *20,حبة
15019,شاي ريد ليبل خيط  *12,حبة
15020,شاي احمد احمر خيط *24,حبة
15021,شاي احمد اصفر خيط *24,حبة
15023,شاي سالم خيط 100 * 10,حبة
15025,شاي سالم فله *20,حبة
15026,شاي ابو جبل 750 جرام *6,حبة
15027,شاي ابو جبل 400 جرام *12,حبة
15028,شاي ابو جبل 200 جرام *24,حبة
15029,شاي ربيع ورق 1كيلو شد 12,حبة
15030,شاي ابو جبل  خيط *24,حبة
15031,شاي ربيع المذاق الاصلي 100خيط *24,حبة
15033,شاي ربيع حديد300 جرام  *24,حبة
15034,شاي ربيع 400 جرام شد 12 حبه,حبة
15035,شاي كبوس 227 جرام *40,حبة
15036,شاي كبوس فله 450*20,حبة
15037,شاي المقناص حديد *12,حبة
15038,شاي بغداد 400جم1*20,حبة
15039,شاي ليبتون 100خيط شد 36 حبه,حبة
15039,شاي ليبتون 100خيط شد 36 حبه,حبة
15043,شاي ربيع خيط الاقوى 100 * 12,حبة
15046,شاي الصمان علب دائري  360 جرام *24,حبة
15047,شاي الصمان علاقي 100 خيط *24,حبة
15048,شاي كريشو جولد100 خيط,حبة
15049,شاي كواليتي خيط  100*12,حبة
15050,شاي كواليتي ذهبي 250 جرام*20,حبة
15051,شاي كواليتي اسود250 جرام*20,حبة
15052,شاي اخضر صيني 100 جرام,حبة
15053,شاي خدير حديد200 جبلي جرام شد 24,حبة
15054,شاي كواليتي بلاستيك 500 جرام *12,حبة
15055,شاي خدير باكت 250جرام *24 ذهبي,حبة
15056,شاي خدير خيط 100*24,حبة
15059,شاي العطار يانسون *24,حبة
15060,شاي غمدان حديد 150جم *36,علبة
15061,شاي العطار كركديه,حبة
15062,شاي العطار رمان *24,حبة
15063,شاي العطار كمون وليمون*24,حبة
15064,شاي العطار زنجبيل وليمون*24,حبة
