2026-01-22 05:06:44 [ERROR]: Request failed with server error | {"method":"PUT","url":"/api/shipment-expenses/3","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"76ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:30:09 [ERROR]: Error fetching customs declaration statuses: relation "customs_declaration_statuses" does not exist | {"length":128,"name":"error","severity":"ERROR","code":"42P01","position":"149","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:30:09 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations/statuses","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"25ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:33:01 [ERROR]: Error fetching customs declaration types: relation "customs_declaration_types" does not exist | {"length":125,"name":"error","severity":"ERROR","code":"42P01","position":"183","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:33:01 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations/types","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"47ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:33:01 [ERROR]: Error fetching customs declarations: relation "customs_declarations" does not exist | {"length":119,"name":"error","severity":"ERROR","code":"42P01","position":"43","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:33:01 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"57ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:33:01 [ERROR]: Error fetching customs declaration statuses: relation "customs_declaration_statuses" does not exist | {"length":128,"name":"error","severity":"ERROR","code":"42P01","position":"149","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:33:01 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations/statuses","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"56ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:33:01 [ERROR]: Error fetching customs declaration types: relation "customs_declaration_types" does not exist | {"length":125,"name":"error","severity":"ERROR","code":"42P01","position":"183","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:33:01 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations/types","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"14ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:33:01 [ERROR]: Error fetching customs declaration statuses: relation "customs_declaration_statuses" does not exist | {"length":128,"name":"error","severity":"ERROR","code":"42P01","position":"149","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:33:01 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations/statuses","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"18ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:33:01 [ERROR]: Error fetching customs declarations: relation "customs_declarations" does not exist | {"length":119,"name":"error","severity":"ERROR","code":"42P01","position":"43","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:33:01 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"49ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:33:20 [ERROR]: Error fetching customs declaration types: relation "customs_declaration_types" does not exist | {"length":125,"name":"error","severity":"ERROR","code":"42P01","position":"183","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:33:20 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations/types","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"7ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:33:20 [ERROR]: Error fetching customs declaration statuses: relation "customs_declaration_statuses" does not exist | {"length":128,"name":"error","severity":"ERROR","code":"42P01","position":"149","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:33:20 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations/statuses","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"10ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:33:20 [ERROR]: Error fetching customs declarations: relation "customs_declarations" does not exist | {"length":119,"name":"error","severity":"ERROR","code":"42P01","position":"43","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:33:20 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"20ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:33:20 [ERROR]: Error fetching customs declaration types: relation "customs_declaration_types" does not exist | {"length":125,"name":"error","severity":"ERROR","code":"42P01","position":"183","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:33:20 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations/types","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"11ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:33:20 [ERROR]: Error fetching customs declaration statuses: relation "customs_declaration_statuses" does not exist | {"length":128,"name":"error","severity":"ERROR","code":"42P01","position":"149","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:33:20 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations/statuses","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"15ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:33:20 [ERROR]: Error fetching customs declarations: relation "customs_declarations" does not exist | {"length":119,"name":"error","severity":"ERROR","code":"42P01","position":"43","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:33:20 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"38ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:39:00 [ERROR]: ❌ Migration failed: 128_create_customs_declarations.sql INSERT has more target columns than expressions | {"length":119,"name":"error","severity":"ERROR","code":"42601","position":"19373","file":"analyze.c","line":"1035","routine":"transformInsertRow"}
2026-01-22 05:59:10 [ERROR]: Request failed with server error | {"method":"POST","url":"/api/shipment-expenses","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"90ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:29:30 [ERROR]: Login failed INVALID_CREDENTIALS
2026-01-22 09:29:36 [ERROR]: Login failed INVALID_CREDENTIALS
2026-01-22 09:29:49 [ERROR]: Login failed INVALID_CREDENTIALS
2026-01-22 09:34:33 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"48ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:34:34 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"5ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:34:38 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"8ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:34:38 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"3ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:39:19 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"129ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:39:19 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"4ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:39:22 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"10ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:39:22 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"48ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:56:46 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"28ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:56:46 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"3ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:56:49 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"5ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:56:49 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"5ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:57:12 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"7ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:57:12 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/shipment-expenses/shipment/9","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"3ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 09:57:54 [ERROR]: Error fetching customs declaration details: column u.username does not exist | {"length":108,"name":"error","severity":"ERROR","code":"42703","position":"13","file":"parse_relation.c","line":"3665","routine":"errorMissingColumn"}
2026-01-22 09:57:54 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations/3","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"25ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
